asin,rating,reviewCount,httpStatus
B0CNT4ZLVJ,4.6,5260,200
B00A8MZ7IA,4.7,1728,200
B0H2MM4H43,5.0,4,200
B0001IOYX0,4.9,4430,200
B07CWK4S5W,4.6,95964,200
B0GM1MN2LZ,4.7,180,200
0060555661,4.6,12865,200
B0DV7JN7ZD,4.6,19484,200
B075P7J8BB,4.2,120657,200
B00O7FNWGS,4.4,29,200
B0D1N9QX8R,4.4,66,200
0761147489,4.5,1757,200
B0GXG9ZXJM,4.5,,200
B07SJ8VFWH,4.6,162,200
B0BFQJ1T75,3.8,1845,200
B01N9IY5QF,3.8,39922,200
B0B4KK73NB,4.5,244,200
B0863G9D2Q,4.8,858,200
B01N41IPPI,4.6,16970,200
B0FNQDB6JY,4.6,625,200
B00FLYWNYQ,4.3,173482,200
B0B7BG9YPW,4.8,72,200
0762459816,4.7,1377,200
B0DR8Y5W6Z,4.5,367,200
B0BV4BC7LV,4.2,434,200
B07DG64YL9,4.0,65371,200
B07B6T8B4S,4.6,10406,200
B0BPCYQ316,,,404
B0CBQRXNVW,4.8,2091,200
B07NS4CGMX,4.5,220,200
B0047PAHUW,4.8,3184,200
B078YHCXWX,4.6,6971,200
B07N7782BQ,4.8,12,200
B0BQMQ5F1Y,4.8,457,200
B07T6DHVFC,4.4,43000,200
B0DR47Q98V,4.6,101,200
B091P6G47F,4.6,1083,200
B09SKNNNB7,4.7,198,200
B0B9N26T8F,4.5,146,200
B07VW96CVJ,4.5,716,200
B01NB10SWS,4.6,2407,200
B0CGRZ6D8Z,4.5,13520,200
B07TL8T5T8,4.6,5801,200
B0756NG323,4.4,6924,200
B0D7ZY4KX8,4.7,90,200
B0B1CLR1VN,4.4,894,200
B08923SXXP,4.7,8945,200
B0DTLY6S6V,4.4,796,200
B0BRQXKW3C,4.2,27,200
B0CLS182TJ,4.8,49,200
B08F1WR4V6,4.8,2282,200
B08G4SDDQC,4.7,6267,200
B08948WMF9,4.4,2385,200
B07XXPHQZK,4.6,1123,200
B013XKHA4M,4.6,52804,200
B072NNC2LR,4.6,5847,200
B0CWN226NC,3.8,133031,200
B002LC9OES,4.5,17501,200
B087QB95XH,4.2,3141,200
B07DWS4X3Y,4.7,1524,200
B0F2GLB68M,4.6,658,200
B01AHM6P18,4.6,6366,200
B09332HLN1,4.4,24185,200
B07V5HWZXH,4.5,1047,200
B0767JYL1H,4.6,97529,200
B07PFQLFVB,4.4,38194,200
B0CV2DXH7W,4.1,968,200
B08396NTPV,4.6,754,200
B01A3PEBKG,4.5,1441,200
B01N3R86X8,4.4,1101,200
B01MTB55WH,4.5,456,200
B073558TLB,4.7,2360,200
B09QV7GX3C,4.3,2474,200
B01HRCU3SW,4.5,7999,200
B08WZ5TF9H,4.6,1527,200
B0F29FKM7H,4.6,888,200
B01IHHLB3W,4.5,91317,200
B0CC34NF32,4.5,142,200
B092QTCLTM,4.7,4108,200
B0CVXGVPDZ,4.6,243,200
B0C2MHG632,4.4,5248,200
B0D8BWD76H,4.3,4182,200
B07DWRBM9P,4.5,49,200
B000EGFNYI,4.3,326,200
B07D3GK8JK,4.4,10444,200
B078X12B3V,4.8,1089,200
B087CPCVK9,4.3,68856,200
B08KTZ8249,4.7,20006,200
B0788L26Y9,4.2,13,200
B07ZTRD3RY,4.4,134,200
B09LD2CD1L,4.5,4684,200
B089RGDQBB,4.6,22382,200
B0C1PD14ZD,4.3,1077,200
B0CGF4WZVQ,4.8,20,200
B0CWGV674H,4.3,5261,200
B0BFF9N6QQ,4.6,6141,200
B0FFSB9VCK,4.3,95,200
B074XCWQS2,4.7,1287,200
B0CCV3N8ZT,4.3,243,200
B0CLLJC6QC,4.4,1525,200
B08JZBZCXN,4.4,231,200
B09X5CCBVH,4.6,966,200
B0F2YRB2Y5,4.3,206,200
B0FD3C9JHS,4.3,69,200
B0DPL7KQ1B,5.0,7,200
B081RJ8DW1,4.4,3953,200
B09GM8JZM9,4.5,7102,200
B0GYHVJJ19,3.7,45,200
B0DQVKSHGN,3.5,495,200
B01EINBA76,4.6,19747,200
B0B785WHZP,4.6,4387,200
B005PMEHBG,4.3,614,200
B0GGH1QZ78,3.0,82,200
B08RDVG2V8,4.3,15036,200
B0D1DF96SL,4.2,58,200
B0116P7KF0,4.1,24170,200
B082N6BV3X,4.5,2458,200
B0CMJFDNTL,4.4,581,200
B08187RWFY,4.5,957,200
B085SBTSBD,4.5,2863,200
B0DPH6NNTB,4.4,241,200
B098RKWHHZ,4.5,98428,200
B0BBZB6LM4,4.5,14443,200
